year,state,wvalue,lvalue
2001,El Salvador,268,male
2002,El Salvador,277,male
2003,El Salvador,277,male
2004,El Salvador,255,male
2005,El Salvador,270,male
2006,El Salvador,260,male
2007,El Salvador,281,male
2008,El Salvador,284,male
2009,El Salvador,303,male
2010,El Salvador,292,male
2011,El Salvador,292,male
1995,Estonia,450,female
1996,Estonia,450,female
1997,Estonia,450,female
1998,Estonia,450,female
1999,Estonia,450,female
2000,Estonia,450,female
2001,Estonia,450,female
2002,Estonia,450,female
2003,Estonia,450,female
2004,Estonia,450,female
2005,Estonia,450,female
2006,Estonia,531,female
2007,Estonia,640,female
2008,Estonia,728,female
2009,Estonia,728,female
2010,Estonia,728,female
2011,Estonia,728,female
1995,Estonia,611,male
1996,Estonia,611,male
1997,Estonia,611,male
1998,Estonia,611,male
1999,Estonia,611,male
2000,Estonia,611,male
2001,Estonia,611,male
2002,Estonia,611,male
2003,Estonia,611,male
2004,Estonia,611,male
2005,Estonia,611,male
2006,Estonia,735,male
2007,Estonia,898,male
2008,Estonia,979,male
2009,Estonia,979,male
2010,Estonia,979,male
2011,Estonia,979,male
1995,Finland,9413,female
1996,Finland,9883,female
1997,Finland,9912,female
1998,Finland,10277,female
1999,Finland,10312,female
2000,Finland,11116,female
2001,Finland,1957,female
2002,Finland,2028,female
2003,Finland,2107,female
2004,Finland,2190,female
2005,Finland,2275,female
2006,Finland,2343,female
2007,Finland,2433,female
2008,Finland,2575,female
2009,Finland,2667,female
2010,Finland,2736,female
2011,Finland,2736,female
1995,Finland,11972,male
1996,Finland,12426,male
1997,Finland,12566,male
1998,Finland,12984,male
1999,Finland,13363,male
2000,Finland,14111,male
2001,Finland,2441,male
2002,Finland,2523,male
2003,Finland,2621,male
2004,Finland,2708,male
2005,Finland,2813,male
2006,Finland,2922,male
2007,Finland,3035,male
2008,Finland,3185,male
2009,Finland,3288,male
2010,Finland,3358,male
2011,Finland,3358,male
1995,France,1820,female
1996,France,1820,female
1997,France,1820,female
1998,France,1820,female
1999,France,1853,female
2000,France,1890,female
2001,France,1940,female
2002,France,2080,female
2003,France,2140,female
2004,France,2120,female
2005,France,2190,female
2006,France,2250,female
2007,France,2320,female
2008,France,2401,female
2009,France,2461,female
2010,France,2461,female
2011,France,2461,female
1995,France,2282,male
1996,France,2282,male
1997,France,2282,male
1998,France,2282,male
1999,France,2312,male
2000,France,2320,male
2001,France,2380,male
2002,France,2600,male
2003,France,2670,male
2004,France,2610,male
2005,France,2690,male
2006,France,2760,male
2007,France,2850,male
2008,France,2955,male
2009,France,2988,male
2010,France,2988,male
2011,France,2988,male
1995,Georgia,47,female
1996,Georgia,47,female
1997,Georgia,47,female
1998,Georgia,47,female
1999,Georgia,47,female
2000,Georgia,52,female
2001,Georgia,63,female
2002,Georgia,75,female
2003,Georgia,85,female
2004,Georgia,108,female
2005,Georgia,131,female
2006,Georgia,177,female
2007,Georgia,240,female
2008,Georgia,367,female
2009,Georgia,398,female
2010,Georgia,426,female
2011,Georgia,426,female
1995,Georgia,90,male
1996,Georgia,90,male
1997,Georgia,90,male
1998,Georgia,90,male
1999,Georgia,90,male
2000,Georgia,95,male
2001,Georgia,125,male
2002,Georgia,150,male
2003,Georgia,163,male
2004,Georgia,200,male
2005,Georgia,267,male
2006,Georgia,362,male
2007,Georgia,475,male
2008,Georgia,678,male
2009,Georgia,690,male
2010,Georgia,742,male
2011,Georgia,742,male
1995,Germany,1858,female
1996,Germany,1933,female
1997,Germany,1985,female
1998,Germany,2039,female
1999,Germany,2105,female
2000,Germany,2150,female
2001,Germany,2216,female
2002,Germany,2286,female
2003,Germany,2359,female
2004,Germany,2421,female
2005,Germany,2475,female
2006,Germany,2522,female
2007,Germany,2590,female
2008,Germany,2661,female
2009,Germany,2729,female
2010,Germany,2791,female
2011,Germany,2861,female
1995,Germany,2470,male
1996,Germany,2539,male
1997,Germany,2580,male
1998,Germany,2639,male
1999,Germany,2713,male
2000,Germany,2732,male
2001,Germany,2800,male
2002,Germany,2889,male
2003,Germany,2972,male
2004,Germany,3034,male
2005,Germany,3088,male
2006,Germany,3138,male
2007,Germany,3211,male
2008,Germany,3294,male
2009,Germany,3320,male
2010,Germany,3416,male
2011,Germany,3508,male
1995,Ghana,86,female
1996,Ghana,86,female
1997,Ghana,86,female
1998,Ghana,86,female
1999,Ghana,86,female
2000,Ghana,86,female
2001,Ghana,86,female
2002,Ghana,86,female
2003,Ghana,86,female
